team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Czech Republic,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1,0-1,1-1,,1-1,1-1,1-1,0-1,0-1,1-1,1-1,1-0,1-1,1-1,1-1,0-1,1-1,0-1,0-1,0-1,1-1,0-1,1-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,0-1,0-1,0-1,1-1
DR Congo,1-1,0-1,1-1,1-1,0-1,1-1,0-0,1-1,1-1,0-1,0-1,1-1,1-1,,1-1,1-1,0-1,0-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,0-1,0-0,0-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1
Ecuador,1-1,0-1,1-1,1-1,0-1,1-0,1-1,1-1,0-0,1-1,0-1,1-1,1-1,1-1,,1-1,0-1,0-1,0-0,1-1,1-1,1-1,1-1,1-1,0-1,1-0,0-1,0-1,0-1,1-1,1-1,1-1,0-0,0-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1,1-1,1-1
Egypt,1-1,0-1,1-1,1-1,0-1,1-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,,0-1,0-1,1-1,1-1,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-1,0-1,1-0,1-1,1-1,1-1,1-1,1-0,1-0,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-0
England,1-0,1-1,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,,1-1,1-1,1-0,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-1,1-1,1-0,1-0,1-1,1-0,1-1,1-0,1-0,1-0,0-0,1-0,1-0,1-1,1-0,0-0,1-0,1-0,0-0,1-0,1-0
France,1-0,1-1,1-0,1-0,1-1,1-0,1-0,1-1,1-0,1-0,1-1,1-0,1-0,1-0,1-0,1-0,1-1,,0-0,1-0,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-1,1-1,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-0,1-0,1-1,1-1,1-0,0-0,1-0,1-0,1-0,1-0,1-0
Germany,1-1,0-0,1-1,1-1,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-0,1-1,1-1,0-0,1-1,1-1,0-0,,1-1,1-0,1-1,1-0,1-0,1-1,1-0,1-1,1-1,1-1,1-0,1-1,1-0,1-0,1-1,1-0,1-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-0,1-0,1-1,1-1,1-0
Ghana,1-1,0-1,1-1,1-1,0-1,1-1,0-1,0-1,1-1,0-1,0-1,1-0,1-1,1-1,1-1,1-1,0-1,0-1,1-1,,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,0-0,1-1,1-1,1-1,0-0,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1
Haiti,0-1,0-1,0-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,0-1,0-1,0-1,1-1,,0-0,1-1,0-1,0-1,1-1,0-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,1-1,1-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,1-1,0-1,0-1,0-1,0-1
Iran,1-1,0-1,1-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,0-1,1-1,1-1,0-0,,0-0,1-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,0-0,0-0,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1
Iraq,0-0,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1,0-1,1-1,1-1,1-1,1-1,0-1,0-1,0-1,0-1,1-1,1-1,0-0,,1-1,0-1,1-1,0-1,0-1,0-1,1-1,0-1,1-1,1-1,0-1,1-1,0-0,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1
Ivory Coast,1-1,0-1,1-1,1-1,0-1,1-1,0-0,0-0,1-1,1-1,0-1,1-0,1-1,1-1,1-1,1-1,0-1,0-1,0-1,1-1,1-0,1-1,1-1,,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-0,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1
Japan,1-1,0-1,1-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-0,1-0,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-0,1-1,1-0,1-1,,1-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-0,0-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-0,1-1,1-1,1-1,1-1
Jordan,0-1,0-1,0-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,0-1,1-1,1-1,1-1,0-1,0-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,0-1,,0-1,0-1,0-1,1-1,0-1,1-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1
Mexico,0-0,0-1,1-1,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-0,1-0,1-0,1-0,1-1,0-1,0-1,1-1,1-1,1-0,1-1,1-0,1-1,1-1,1-0,,1-1,0-1,1-0,1-1,0-0,1-1,1-1,1-0,1-1,1-0,1-1,1-0,1-1,0-1,1-0,1-1,1-0,1-1,0-0,1-1,1-0
Morocco,1-1,1-1,0-0,1-1,1-1,1-0,1-1,1-1,0-0,1-1,1-1,1-0,1-0,0-0,1-0,1-1,1-1,1-1,1-1,1-1,1-0,1-1,1-0,1-1,1-1,1-0,1-1,,1-1,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-1,1-0,0-0,1-1,1-0,1-0,1-1,1-0,1-1,1-1,1-0
Netherlands,1-0,0-1,1-0,1-0,1-1,1-0,1-1,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-0,1-0,1-1,1-1,1-1,1-0,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-1,,1-0,1-1,1-1,1-0,1-1,1-0,0-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-0,1-1,1-1,0-0,1-0
New Zealand,1-1,0-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,0-1,0-1,1-1,1-1,1-1,1-1,0-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,0-1,0-1,,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1,1-1,1-1
Norway,1-1,0-1,1-1,1-1,0-1,1-0,0-1,1-1,1-1,1-1,0-1,1-0,1-0,1-0,1-1,1-1,0-1,0-1,1-1,1-1,1-0,1-1,1-0,1-1,1-1,1-0,1-1,0-1,1-1,1-1,,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-0,1-1,1-1
Panama,1-1,0-1,1-1,1-1,0-1,1-0,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,0-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,0-0,0-1,1-1,1-1,1-1,,1-1,1-1,0-0,1-1,1-1,1-1,1-0,1-1,0-1,1-1,1-1,1-1,1-1,0-0,1-1,1-1
Paraguay,1-1,1-1,0-0,1-1,0-1,1-1,0-0,1-1,1-1,0-0,0-1,1-1,1-1,1-1,0-0,1-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,0-1,1-1,1-1,1-1,,0-1,1-1,1-1,1-1,1-1,1-1,0-0,0-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1
Portugal,1-1,0-0,1-1,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-0,1-0,1-1,1-0,1-1,1-1,1-1,1-1,0-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-1,1-0,1-1,1-1,1-0,,1-0,1-0,1-0,1-1,1-0,1-0,1-1,1-0,0-0,1-0,1-0,1-1,1-0,1-0
Qatar,1-1,0-1,0-1,1-1,0-1,1-1,0-1,0-0,1-1,0-1,0-1,1-1,1-1,1-1,1-1,0-1,0-1,0-1,0-1,1-1,1-1,0-0,1-1,1-1,0-0,1-1,0-1,0-1,0-1,1-1,1-1,0-0,1-1,0-1,,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1,0-1,1-1
Saudi Arabia,1-1,0-1,1-1,1-1,0-1,1-1,0-1,0-0,1-1,0-1,0-1,1-1,1-1,1-1,1-1,0-1,0-1,0-1,0-1,1-1,1-1,0-0,0-0,1-1,0-0,1-1,1-1,0-1,0-0,1-1,1-1,1-1,1-1,0-1,1-1,,1-1,0-1,1-1,0-1,0-1,1-1,0-1,1-1,1-1,0-0,0-1,1-1
Scotland,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1,0-1,1-0,1-1,1-1,1-1,1-1,0-1,0-1,0-1,1-1,1-0,1-1,1-1,1-1,0-1,1-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1
Senegal,1-1,0-1,1-1,1-1,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-0,1-0,1-1,1-1,1-1,0-0,0-1,1-1,0-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-0,1-0,1-0,,1-1,1-1,0-1,1-0,1-1,1-1,1-0,1-1,1-1,1-0
South Africa,1-1,0-1,0-1,0-1,0-1,1-1,0-1,0-0,1-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,0-1,0-1,0-1,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-1,0-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,1-1,1-1,,0-0,0-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1
South Korea,1-1,0-1,1-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-0,1-1,1-1,0-0,1-1,1-1,1-1,0-0,1-1,1-1,1-1,1-1,0-0,0-1,1-1,1-0,1-1,1-1,0-0,,0-1,1-0,1-1,1-0,1-1,1-1,1-1,1-1
Spain,1-0,1-1,1-0,1-1,1-1,0-0,1-0,0-0,1-0,1-0,1-1,1-0,1-0,1-0,1-0,1-0,1-1,1-1,1-1,1-0,1-0,1-1,1-0,1-0,1-1,1-0,1-0,1-1,1-1,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-0,1-0,1-0,,1-0,1-1,1-0,1-0,1-0,1-0,1-0
Sweden,1-1,0-1,1-1,0-0,0-1,1-1,0-1,1-1,1-1,0-1,0-1,1-0,1-1,1-1,1-1,1-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1,0-1,0-1,,0-1,1-1,1-1,0-1,0-1,1-1
Switzerland,1-1,0-1,1-1,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-0,1-0,1-0,1-0,1-1,0-0,0-0,1-1,1-1,1-0,1-1,1-0,1-1,1-1,1-0,1-1,0-1,1-1,1-0,1-0,1-1,1-0,0-0,1-0,1-0,1-0,1-1,1-0,1-1,1-1,1-0,,0-0,0-0,1-1,1-1,1-0
Tunisia,1-1,0-1,1-1,1-1,0-1,1-1,0-1,0-0,1-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,0-1,1-1,0-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,0-1,0-1,1-1,0-0,,0-1,0-1,0-1,1-1
Turkey,1-1,0-1,1-1,1-1,0-1,1-0,0-1,1-1,0-0,0-1,0-0,1-1,1-0,1-1,1-1,1-1,0-1,0-1,0-1,1-1,1-0,1-1,1-1,1-1,1-1,1-0,1-1,0-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-0,1-0,,1-1,1-1,1-1
United States,1-1,0-1,1-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-0,1-0,1-1,1-0,1-1,0-0,0-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,0-0,1-1,1-1,1-0,0-0,0-0,1-1,1-1,1-0,0-0,1-1,1-1,1-1,1-1,0-1,1-0,1-1,1-0,1-1,,1-1,1-0
Uruguay,1-1,0-1,1-1,1-1,1-1,1-0,0-0,1-1,1-1,1-1,1-1,1-0,1-0,1-1,1-1,1-1,0-1,0-1,1-1,1-1,1-0,1-1,1-0,1-1,1-1,1-1,1-1,1-1,0-0,1-1,1-1,1-1,1-1,0-1,1-0,1-0,1-0,1-1,1-1,1-1,0-1,1-0,1-1,1-0,1-1,1-1,,1-0
Uzbekistan,1-1,0-1,1-1,1-1,0-1,1-0,1-1,1-1,1-1,0-1,0-1,1-0,1-1,1-1,1-1,0-1,0-1,0-1,0-1,1-1,1-0,1-1,1-1,1-1,1-1,1-0,0-1,0-1,0-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,1-1,0-1,0-1,
